+--------------+--------------+
|      Pat No. |            2 |
+--------------+--------------+
|      Pic No. |            7 |
|         Mode |            2 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    1 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    2 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    3 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    4 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    5 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    6 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    7 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    8 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|    9 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   10 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   11 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   12 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   13 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   14 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   15 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   16 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   17 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   18 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   19 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   20 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   21 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   22 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   23 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   24 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   25 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   26 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
|   27 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |  255 |
